backtrack_rule, position[-1]
DirectionRule, position
CollisionDirectionRule, position
collision_color_mapping_rule, position
CollisionBorderRule, position
CollisionFillRule, position
uncharge_rule, position
CollisionConditionDirectionRule, position
collision_entity_redirect_rule, position
resize_entity_to_exit_rule, position
OutOfGridRule, next_position
TrappedCollisionRule, next_position
GravityRule, next_position
ProximityRule, next_position
RewardRule, next_position
AgentSpawnRule, next_position
StayInGridRule, next_position
TerminateAtPointRule, next_position
